name,date,price,views,link
iPad Pro 12.9 (3rd Gen) 256Gb + Apple Smart Folio,19/05/2020 08:56  πμ,"
										
											900,00 €
										
									",192,https://www.insomnia.gr/classifieds/item/1576069-ipad-pro-129-3rd-gen-256gb-apple-smart-folio/
iPad 7th generation 10.2 128gb WiFi only,17/05/2020 03:49  μμ,"
										
											420,00 €
										
									",202,https://www.insomnia.gr/classifieds/item/1575036-ipad-7th-generation-102-128gb-wifi-only/
Mini ipad 4 128 cellular-χρυσο-Σαν σφραγισμένο-330 ευρω,17/05/2020 04:57  μμ,"
										
											330,00 €
										
									",457,https://www.insomnia.gr/classifieds/item/1556751-mini-ipad-4-128-cellular-%CF%87%CF%81%CF%85%CF%83%CE%BF-%CF%83%CE%B1%CE%BD-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%AD%CE%BD%CE%BF-330-%CE%B5%CF%85%CF%81%CF%89/
iPad Air 2019 64GB (WiFi + Cellular),17/05/2020 07:12  μμ,"
										
											450,00 €
										
									",243,https://www.insomnia.gr/classifieds/item/1579430-ipad-air-2019-64gb-wifi-cellular/
i pad 2 64gb,17/05/2020 08:52  μμ,"
										
											200,00 €
										
									",34,https://www.insomnia.gr/classifieds/item/1579494-i-pad-2-64gb/
"iPad 6th gen (wifi & cellular) 32GB 9.7""",,"
										
											250,00 €
										
									",73,https://www.insomnia.gr/classifieds/item/1579515-ipad-6th-gen-wifi-cellular-32gb-97/
iPad mini gen4 16GB + Cellular,18/05/2020 08:16  πμ,"
										
											270,00 €
										
									",276,https://www.insomnia.gr/classifieds/item/1565740-ipad-mini-gen4-16gb-cellular/
iPad Wi-Fi 32GB 9.7'' / 2017 Silver,18/05/2020 08:47  πμ,"
										
											300,00 €
										
									",80,https://www.insomnia.gr/classifieds/item/1579672-ipad-wi-fi-32gb-97-2017-silver/
3rd gen (2018) iPad Pro 12.9 64GB WiFi space gray,18/05/2020 09:30  πμ,"
										
											700,00 €
										
									",146,https://www.insomnia.gr/classifieds/item/1579677-3rd-gen-2018-ipad-pro-129-64gb-wifi-space-gray/
iPad 12.9 256gb Istorm,18/05/2020 07:43  μμ,"
										
											1.100,00 €
										
									",185,https://www.insomnia.gr/classifieds/item/1574118-ipad-129-256gb-istorm/
IPAD PRO 12.9 3D GENERATION ORIGINAL SMART KEYBOARD ΑΨΟΓΟ ΕΛΛΗΝΙΚΟ,18/05/2020 08:06  μμ,"
										
											140,00 €
										
									",68,https://www.insomnia.gr/classifieds/item/1580047-ipad-pro-129-3d-generation-original-smart-keyboard-%CE%B1%CF%88%CE%BF%CE%B3%CE%BF-%CE%B5%CE%BB%CE%BB%CE%B7%CE%BD%CE%B9%CE%BA%CE%BF/
iPad mini + 3gs,18/05/2020 08:50  μμ,"
										
											Επικοινωνία
										
									",43,https://www.insomnia.gr/classifieds/item/1580071-ipad-mini-3gs/
"Logitech Slim Combo και Smart Cover για iPad Pro 2017 10.5""",18/05/2020 09:35  μμ,"
										
											100,00 €
										
									",267,https://www.insomnia.gr/classifieds/item/1569804-logitech-slim-combo-%CE%BA%CE%B1%CE%B9-smart-cover-%CE%B3%CE%B9%CE%B1-ipad-pro-2017-105/
Ipad 5th gen wifi Αψογο !!,18/05/2020 11:46  μμ,"
										
											220,00 €
										
									",251,https://www.insomnia.gr/classifieds/item/1573676-ipad-5th-gen-wifi-%CE%B1%CF%88%CE%BF%CE%B3%CE%BF/
"iPad 2019 10,2"" 32GB WiFi",,"
										
											320,00 €
										
									",185,https://www.insomnia.gr/classifieds/item/1578515-ipad-2019-102-32gb-wifi/
iPad mini 4 16 BG space gray,16/05/2020 10:08  πμ,"
										
											220,00 €
										
									",137,https://www.insomnia.gr/classifieds/item/1573670-ipad-mini-4-16-bg-space-gray/
iPad Pro 10.5 64 GB,16/05/2020 10:34  πμ,"
										
											480,00 €
										
									",284,https://www.insomnia.gr/classifieds/item/1572678-ipad-pro-105-64-gb/
"Apple iPad Pro 2017 10.5"" WiFi and Cellular (256GB)",16/05/2020 06:29  μμ,"
										
											600,00 €
										
									",80,https://www.insomnia.gr/classifieds/item/1578853-apple-ipad-pro-2017-105-wifi-and-cellular-256gb/
iPad Air 2 Wi-Fi Cellular 64GB Space Gray,,"
										
											240,00 €
										
									",122,https://www.insomnia.gr/classifieds/item/1578897-ipad-air-2-wi-fi-cellular-64gb-space-gray/
Targus VersaVu case for Apple Ipad Pro 11,16/05/2020 08:35  μμ,"
										
											30,00 €
										
									",446,https://www.insomnia.gr/classifieds/item/1470706-targus-versavu-case-for-apple-ipad-pro-11/
iPad mini 4 Space Grey Άριστο,17/05/2020 10:58  πμ,"
										
											230,00 €
										
									",93,https://www.insomnia.gr/classifieds/item/1579119-ipad-mini-4-space-grey-%CE%AC%CF%81%CE%B9%CF%83%CF%84%CE%BF/
Apple iPad Air 2,17/05/2020 11:22  πμ,"
										
											100,00 €
										
									",232,https://www.insomnia.gr/classifieds/item/1579132-apple-ipad-air-2/
Ipad mini 4 16 gb wifi,17/05/2020 12:20  μμ,"
										
											130,00 €
										
									",48,https://www.insomnia.gr/classifieds/item/1579171-ipad-mini-4-16-gb-wifi/
Ipad mini 4 wifi 16gb,17/05/2020 12:23  μμ,"
										
											140,00 €
										
									",168,https://www.insomnia.gr/classifieds/item/1579174-ipad-mini-4-wifi-16gb/
Apple Pencil (1st Generation) - Δωρεάν Μεταφορικά,17/05/2020 01:43  μμ,"
										
											70,00 €
										
									",138,https://www.insomnia.gr/classifieds/item/1579225-apple-pencil-1st-generation-%CE%B4%CF%89%CF%81%CE%B5%CE%AC%CE%BD-%CE%BC%CE%B5%CF%84%CE%B1%CF%86%CE%BF%CF%81%CE%B9%CE%BA%CE%AC/
"iPad Pro 11"" 2018 64GB WiFi Space Grey",16/05/2020 12:54  πμ,"
										
											670,00 €
										
									",149,https://www.insomnia.gr/classifieds/item/1578447-ipad-pro-11-2018-64gb-wifi-space-grey/
Ipad pro 128 gb ml2k2fd/a,14/05/2020 10:38  πμ,"
										
											700,00 €
										
									",91,https://www.insomnia.gr/classifieds/item/1577328-ipad-pro-128-gb-ml2k2fda/
iPad Pro 10.5,14/05/2020 02:18  μμ,"
										
											400,00 €
										
									",282,https://www.insomnia.gr/classifieds/item/1572997-ipad-pro-105/
iPad Pro 2020,,"
										
											Επικοινωνία
										
									",335,https://www.insomnia.gr/classifieds/item/1577478-ipad-pro-2020/
Ipad pro 12.9 3d gen 64giga wifi + 4G σαν καινούργιο 1 μήνα + original smart keyboard,,"
										
											1.000,00 €
										
									",83,https://www.insomnia.gr/classifieds/item/1577502-ipad-pro-129-3d-gen-64giga-wifi-4g-%CF%83%CE%B1%CE%BD-%CE%BA%CE%B1%CE%B9%CE%BD%CE%BF%CF%8D%CF%81%CE%B3%CE%B9%CE%BF-1-%CE%BC%CE%AE%CE%BD%CE%B1-original-smart-keyboard/
iPad Air 2 cellular 16gb,13/05/2020 10:26  πμ,"
										
											210,00 €
										
									",483,https://www.insomnia.gr/classifieds/item/1561298-ipad-air-2-cellular-16gb/
iPad mini Wi-Fi 16GB Space Gray,13/05/2020 12:33  μμ,"
										
											150,00 €
										
									",106,https://www.insomnia.gr/classifieds/item/1576791-ipad-mini-wi-fi-16gb-space-gray/
iPad 1 32gb,13/05/2020 01:06  μμ,"
										
											100,00 €
										
									",69,https://www.insomnia.gr/classifieds/item/1576803-ipad-1-32gb/
iPad Air 2 4G,,"
										
											170,00 €
										
									",1053,https://www.insomnia.gr/classifieds/item/1563420-ipad-air-2-4g/
Άκυρο,,"
										
											1,00 €
										
									",58,https://www.insomnia.gr/classifieds/item/1576932-%CE%AC%CE%BA%CF%85%CF%81%CE%BF/
iPad Pro 10.5 2nd gen Gold για ανταλακτικα,13/05/2020 07:21  μμ,"
										
											200,00 €
										
									",117,https://www.insomnia.gr/classifieds/item/1577064-ipad-pro-105-2nd-gen-gold-%CE%B3%CE%B9%CE%B1-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%B1%CE%BA%CF%84%CE%B9%CE%BA%CE%B1/
iPad Air 2  Gold Σαν καινούργιο!!!,13/05/2020 07:32  μμ,"
										
											275,00 €
										
									",378,https://www.insomnia.gr/classifieds/item/1566011-ipad-air-2-gold-%CF%83%CE%B1%CE%BD-%CE%BA%CE%B1%CE%B9%CE%BD%CE%BF%CF%8D%CF%81%CE%B3%CE%B9%CE%BF/
iPad mini 3,,"
										
											170,00 €
										
									",87,https://www.insomnia.gr/classifieds/item/1577210-ipad-mini-3/
Πουλήθηκε ευχαριστώ!,,"
										
											1,00 €
										
									",202,https://www.insomnia.gr/classifieds/item/1572961-%CF%80%CE%BF%CF%85%CE%BB%CE%AE%CE%B8%CE%B7%CE%BA%CE%B5-%CE%B5%CF%85%CF%87%CE%B1%CF%81%CE%B9%CF%83%CF%84%CF%8E/
"iPad 9,7” 6th gen 128GB",14/05/2020 05:38  πμ,"
										
											330,00 €
										
									",153,https://www.insomnia.gr/classifieds/item/1577263-ipad-97%E2%80%9D-6th-gen-128gb/
iPad Pro 10.5 64gb WiFi καινουργιο,14/05/2020 03:23  μμ,"
										
											500,00 €
										
									",130,https://www.insomnia.gr/classifieds/item/1577515-ipad-pro-105-64gb-wifi-%CE%BA%CE%B1%CE%B9%CE%BD%CE%BF%CF%85%CF%81%CE%B3%CE%B9%CE%BF/
Ipad mini 2,14/05/2020 03:31  μμ,"
										
											160,00 €
										
									",119,https://www.insomnia.gr/classifieds/item/1577525-ipad-mini-2/
iPad mini4 128Gb άριστο,14/05/2020 06:25  μμ,"
										
											300,00 €
										
									",575,https://www.insomnia.gr/classifieds/item/1503771-ipad-mini4-128gb-%CE%AC%CF%81%CE%B9%CF%83%CF%84%CE%BF/
"iPad Pro Smart Keyboard 10,5”",15/05/2020 09:12  πμ,"
										
											180,00 €
										
									",43,https://www.insomnia.gr/classifieds/item/1577891-ipad-pro-smart-keyboard-105%E2%80%9D/
iPad Mini 2019 64Gb Space Grey εντός εγγύησης,15/05/2020 11:24  πμ,"
										
											375,00 €
										
									",122,https://www.insomnia.gr/classifieds/item/1577950-ipad-mini-2019-64gb-space-grey-%CE%B5%CE%BD%CF%84%CF%8C%CF%82-%CE%B5%CE%B3%CE%B3%CF%8D%CE%B7%CF%83%CE%B7%CF%82/
iPad Pro 11' 64gb space gray 2018,15/05/2020 02:33  μμ,"
										
											679,00 €
										
									",507,https://www.insomnia.gr/classifieds/item/1561803-ipad-pro-11-64gb-space-gray-2018/
i pad mini 2,,"
										
											100,00 €
										
									",102,https://www.insomnia.gr/classifieds/item/1574672-i-pad-mini-2/
iPad 6th Gen 32GB,,"
										
											260,00 €
										
									",192,https://www.insomnia.gr/classifieds/item/1574712-ipad-6th-gen-32gb/
iPad Air2 64G με μουσικές εφαρμογές,09/05/2020 08:53  μμ,"
										
											350,00 €
										
									",144,https://www.insomnia.gr/classifieds/item/1574718-ipad-air2-64g-%CE%BC%CE%B5-%CE%BC%CE%BF%CF%85%CF%83%CE%B9%CE%BA%CE%AD%CF%82-%CE%B5%CF%86%CE%B1%CF%81%CE%BC%CE%BF%CE%B3%CE%AD%CF%82/
Apple αδειο κουτι ipad,10/05/2020 12:18  πμ,"
										
											20,00 €
										
									",174,https://www.insomnia.gr/classifieds/item/1564456-apple-%CE%B1%CE%B4%CE%B5%CE%B9%CE%BF-%CE%BA%CE%BF%CF%85%CF%84%CE%B9-ipad/
Apple Ipad Αir 16gb 3g,10/05/2020 08:38  πμ,"
										
											150,00 €
										
									",107,https://www.insomnia.gr/classifieds/item/1574854-apple-ipad-%CE%B1ir-16gb-3g/
iPad Air 3g 16g,10/05/2020 11:15  πμ,"
										
											190,00 €
										
									",102,https://www.insomnia.gr/classifieds/item/1574911-ipad-air-3g-16g/
Apple I pad  32gb wifi τιμή χώμα,,"
										
											120,00 €
										
									",160,https://www.insomnia.gr/classifieds/item/1575091-apple-i-pad-32gb-wifi-%CF%84%CE%B9%CE%BC%CE%AE-%CF%87%CF%8E%CE%BC%CE%B1/
Ipad Air και δώρο Ipad 2,,"
										
											170,00 €
										
									",284,https://www.insomnia.gr/classifieds/item/1575110-ipad-air-%CE%BA%CE%B1%CE%B9-%CE%B4%CF%8E%CF%81%CE%BF-ipad-2/
Ipad Air 2 Gold WiFi+Cellular 16GB - ΑΡΙΣΤΟ,10/05/2020 07:04  μμ,"
										
											230,00 €
										
									",203,https://www.insomnia.gr/classifieds/item/1575224-ipad-air-2-gold-wificellular-16gb-%CE%B1%CF%81%CE%B9%CF%83%CF%84%CE%BF/
Ipad mini 32gb cellular,10/05/2020 11:47  μμ,"
										
											60,00 €
										
									",314,https://www.insomnia.gr/classifieds/item/1575402-ipad-mini-32gb-cellular/
Ipad 10.2 WiFi space grey 32gb,,"
										
											270,00 €
										
									",157,https://www.insomnia.gr/classifieds/item/1575424-ipad-102-wifi-space-grey-32gb/
iPad mini 4 128gb,,"
										
											250,00 €
										
									",146,https://www.insomnia.gr/classifieds/item/1575479-ipad-mini-4-128gb/
"iPad air 1st gen(16gb, space grey)",11/05/2020 09:00  πμ,"
										
											170,00 €
										
									",104,https://www.insomnia.gr/classifieds/item/1575484-ipad-air-1st-gen16gb-space-grey/
Άκυρη,,"
										
											1,00 €
										
									",94,https://www.insomnia.gr/classifieds/item/1575641-%CE%AC%CE%BA%CF%85%CF%81%CE%B7/
Πωλείται iPad Pro 9.7 32GB,,"
										
											279,00 €
										
									",283,https://www.insomnia.gr/classifieds/item/1575827-%CF%80%CF%89%CE%BB%CE%B5%CE%AF%CF%84%CE%B1%CE%B9-ipad-pro-97-32gb/
Ipad pro 12.9 3d gen 64giga wifi + 4G σαν καινούργιο 1 μήνα + original smart keyboard,,"
										
											1.000,00 €
										
									",176,https://www.insomnia.gr/classifieds/item/1576102-ipad-pro-129-3d-gen-64giga-wifi-4g-%CF%83%CE%B1%CE%BD-%CE%BA%CE%B1%CE%B9%CE%BD%CE%BF%CF%8D%CF%81%CE%B3%CE%B9%CE%BF-1-%CE%BC%CE%AE%CE%BD%CE%B1-original-smart-keyboard/
Ipad 2 με ΔΩΡΟ!!!!.,06/05/2020 10:55  πμ,"
										
											80,00 €
										
									",234,https://www.insomnia.gr/classifieds/item/1572417-ipad-2-%CE%BC%CE%B5-%CE%B4%CF%89%CF%81%CE%BF/
.....,,"
										
											Επικοινωνία
										
									",620,https://www.insomnia.gr/classifieds/item/1559385--/
"iPad Air 1 9.7"" WiFi (16GB) Space Gray + Smart Covers",,"
										
											Επικοινωνία
										
									",164,https://www.insomnia.gr/classifieds/item/1572539-ipad-air-1-97-wifi-16gb-space-gray-smart-covers/
iPad mini 4 ΑΨΟΓΟ  ΧΡΩΜΑ GOLD ΚΑΙ ΑΝΤΑΛΛΑΓΗ,,"
										
											230,00 €
										
									",156,https://www.insomnia.gr/classifieds/item/1572777-ipad-mini-4-%CE%B1%CF%88%CE%BF%CE%B3%CE%BF-%CF%87%CF%81%CF%89%CE%BC%CE%B1-gold-%CE%BA%CE%B1%CE%B9-%CE%B1%CE%BD%CF%84%CE%B1%CE%BB%CE%BB%CE%B1%CE%B3%CE%B7/
iPad Air,06/05/2020 10:08  μμ,"
										
											190,00 €
										
									",461,https://www.insomnia.gr/classifieds/item/1562740-ipad-air/
iPad 10.2 2019 32gb - Σφραγισμένο καινούργιο.,06/05/2020 10:48  μμ,"
										
											375,00 €
										
									",253,https://www.insomnia.gr/classifieds/item/1572901-ipad-102-2019-32gb-%CF%83%CF%86%CF%81%CE%B1%CE%B3%CE%B9%CF%83%CE%BC%CE%AD%CE%BD%CE%BF-%CE%BA%CE%B1%CE%B9%CE%BD%CE%BF%CF%8D%CF%81%CE%B3%CE%B9%CE%BF/
Ipad 11 pro 2018 64gb,,"
										
											680,00 €
										
									",1060,https://www.insomnia.gr/classifieds/item/1552241-ipad-11-pro-2018-64gb/
iPad Pro 9.7 rose gold 32 cellular,07/05/2020 09:24  πμ,"
										
											370,00 €
										
									",382,https://www.insomnia.gr/classifieds/item/1537507-ipad-pro-97-rose-gold-32-cellular/
iPad Pro 12.9 white.,07/05/2020 10:16  πμ,"
										
											400,00 €
										
									",966,https://www.insomnia.gr/classifieds/item/1551354-ipad-pro-129-white/
iPad Mini 1st Generation WiFi 16GB άψογη κατάσταση + 13 θήκες,07/05/2020 05:37  μμ,"
										
											90,00 €
										
									",99,https://www.insomnia.gr/classifieds/item/1573335-ipad-mini-1st-generation-wifi-16gb-%CE%AC%CF%88%CE%BF%CE%B3%CE%B7-%CE%BA%CE%B1%CF%84%CE%AC%CF%83%CF%84%CE%B1%CF%83%CE%B7-13-%CE%B8%CE%AE%CE%BA%CE%B5%CF%82/
Apple iPad mini 1 16GB Wi-Fi (Model A1432 | MD528LL/A | WiFi Only) Grade A - Excellent Condition,,"
										
											75,00 €
										
									",194,https://www.insomnia.gr/classifieds/item/1573369-apple-ipad-mini-1-16gb-wi-fi-model-a1432-md528lla-wifi-only-grade-a-excellent-condition/
iPad 4 Retina 128gb Cellular   ,07/05/2020 07:49  μμ,"
										
											190,00 €
										
									",125,https://www.insomnia.gr/classifieds/item/1573437-ipad-4-retina-128gb-cellular/
